287,402,850,1031,1661,1692,1860,1942,2096,2873,2934,3185,3906,3936,3945,4285,4433,4672,4740,5129,5185,5514,5576,5748,5764,5784,6447,6651,7517,7520,7772,7949,7992,8148,8395,8598,9560,9653,9804,9859
318,699,751,1068,1137,1475,1810,1937,2652,2765,2940,3047,3343,3791,3974,4348,5038,5240,5331,5630,5813,5871,6011,6214,6338,6364,6478,6514,6742,6937,7060,7096,7662,7675,8531,8848,9164,9171,9574,9938
324,803,1528,1637,1822,1980,2465,2842,2970,3096,3183,3295,3588,3619,3636,4117,4224,4362,4690,4994,5086,5219,5337,5445,5621,5673,6037,6136,6801,7503,7839,7960,8131,8165,8205,9062,9253,9498,9553,9596
455,581,881,885,1096,1115,1651,1994,2239,2372,2591,3414,3598,3915,4136,4165,4260,4423,4999,5158,5495,5842,5897,6308,6392,6661,6674,6932,7004,7306,7577,7759,8167,8381,8389,8599,9116,9260,9679,9929
484,584,592,721,1586,1729,1763,2145,2152,2284,2335,3088,3122,3943,4118,4145,4209,4254,4691,5458,5489,5858,6155,6158,6302,6426,6613,6785,6790,7179,7515,7737,7986,8062,8803,9283,9401,9446,9925,9979
559,657,664,989,1571,1678,1735,2601,2963,2981,3182,3215,3239,3333,3349,3899,3934,4570,4931,5118,5318,5523,5547,5626,6047,7073,7284,7321,7365,7391,7466,7497,7584,8328,8639,8760,8972,9165,9321,9900
562,668,823,843,929,1146,1330,1491,1513,1634,2282,2905,3146,3293,3441,3652,4245,4249,4731,5018,5338,5906,6112,6210,6287,6682,7320,7359,7418,7811,7907,8229,8324,8660,9489,9580,9661,9684,9705,9712
706,906,1426,1514,1731,2103,2225,2452,2486,2569,3125,3132,3210,3264,3398,3560,3670,4070,4225,4272,4584,4919,5659,6270,6918,6967,6987,7046,7215,7533,8122,8438,8505,8508,8575,8577,8704,8751,9450,9523
821,1203,1386,1451,1607,1672,2234,2461,2685,2956,2983,3147,3204,3508,3692,4208,4408,4492,4586,4659,4886,5161,5223,5431,6191,6380,6394,6817,7064,7139,7457,8025,8243,8540,8756,8963,8985,9306,9337,9634
965,970,1539,1741,1764,1915,1966,2237,2341,2454,2470,2595,2748,2906,3489,4264,4388,4528,4634,5000,5460,5542,5736,5786,6049,6470,6559,7172,7205,7374,7546,7804,8190,8296,8628,8657,9102,9398,9600,9807
