455,1649,8959,9018
160,2027,8916,8978
982,1394,8807,8898
427,1941,8838,8875
983,1512,8785,8801
881,1731,8671,8798
965,1629,8713,8774
734,1916,8676,8755
224,2573,8626,8658
508,2322,8597,8654
1242,1624,8591,8624
1280,1653,8568,8580
433,2590,8515,8543
154,2960,8443,8524
1407,1802,8404,8468
767,2645,8304,8365
1536,2005,8180,8360
362,3183,8248,8288
1051,2583,8212,8235
1792,1964,8135,8190
155,3743,8055,8128
1128,2754,8081,8118
1980,2041,8004,8056
1582,2421,8034,8044
976,3080,8007,8018
1672,2560,7878,7971
1852,2552,7836,7841
715,3752,7794,7820
1833,2662,7774,7812
1085,3471,7736,7789
1277,3315,7740,7749
1975,2686,7681,7739
1623,3123,7649,7686
1374,3393,7629,7685
2132,2673,7601,7675
2130,2691,7586,7674
1246,3633,7569,7633
1435,3558,7501,7587
1470,3473,7567,7571
2195,2900,7432,7554
1744,3333,7475,7529
2459,2802,7294,7526
2087,3207,7370,7417
2477,2996,7263,7345
2177,3352,7208,7344
1769,3832,7184,7296
2559,3152,7168,7202
2115,3718,7072,7176
2818,2926,7163,7174
2246,3626,7055,7154
2827,3209,6980,7065
2637,3397,6993,7054
2894,3239,6924,7024
2310,3876,6901,6994
3000,3236,6870,6975
2766,3773,6729,6813
2713,3769,6797,6802
3012,3584,6718,6767
2608,4012,6697,6764
3116,3576,6675,6714
2759,4026,6643,6653
2531,4315,6585,6650
2838,4066,6567,6610
3197,3756,6528,6600
3037,3957,6541,6546
3230,3806,6509,6536
3493,3640,6466,6482
3362,3809,6440,6470
3544,3679,6403,6455
3160,4075,6394,6452
3554,3808,6320,6399
3043,4354,6292,6392
2656,4834,6247,6344
3356,4280,6197,6248
3056,4637,6154,6234
3763,4001,6108,6209
3821,3905,6163,6192
3886,3930,6129,6136
3692,4147,6107,6135
2841,5073,6079,6088
3678,4332,6008,6063
3268,4792,5994,6027
2942,5240,5945,5954
3572,4623,5934,5952
3820,4478,5852,5931
3564,4730,5885,5902
3514,4862,5822,5883
4109,4299,5827,5846
3714,4709,5819,5839
4143,4357,5783,5798
3639,4995,5651,5796
3536,5120,5660,5765
3918,4663,5739,5761
3698,4958,5680,5745
4037,4604,5711,5729
4381,4400,5622,5678
4013,4844,5578,5646
3764,5114,5574,5629
4249,4610,5601,5621
4392,4530,5547,5612
4336,4683,5502,5560
4362,4646,5529,5544
4342,4746,5461,5532
4425,4847,5372,5437
4660,4714,5289,5418
4437,4853,5392,5399
4375,5134,5229,5343
4675,4737,5333,5336
4388,5153,5211,5329
4726,4840,5219,5296
4662,4990,5137,5292
4803,4913,5182,5183
4800,5026,5109,5146
4869,5003,5092,5117
