6769
8122,9878
8347,9653
8817,9183
1038,1797,6191,8974
1068,1731,6470,8731
1113,1911,6053,8923
1115,2910,5318,8657
1120,1811,5942,9127
1146,2939,5489,8426
1170,1426,6302,9102
1190,1607,6100,9103
1203,2568,5445,8784
1223,1692,6425,8660
1256,1539,6188,9017
1269,1325,6445,8961
1287,1937,6338,8438
1397,2398,6033,8172
1419,2923,5081,8577
1428,1994,5801,8777
1451,1966,6047,8536
1454,1940,5871,8735
1476,1752,5842,8930
1531,1782,5858,8829
1634,2265,5523,8578
1651,1672,6049,8628
1660,1810,5659,8871
1678,1873,5906,8543
1690,1942,5941,8427
1698,3122,4740,8440
1709,2530,5622,8139
1726,2454,5280,8540
1763,2569,5503,8165
1787,2825,5431,7957
1822,2601,5334,8243
1825,3146,5576,7453
1860,2037,5813,8290
1870,3802,4260,8068
1908,2284,5512,8296
1913,2513,5043,8531
1915,2341,5331,8413
1929,2401,5095,8575
1941,3590,5767,6701
1980,2470,5125,8425
2065,2461,5635,7839
2096,3292,4383,8229
2100,2720,4938,8242
2152,3812,3974,8062
2225,2465,4848,8462
2237,3440,4689,7634
2249,3018,4410,8323
2253,2282,5661,7804
2266,2965,5129,7640
2299,3835,4948,6918
2335,2807,4951,7907
2360,2781,5786,7073
2362,4378,5496,5764
2368,3132,4644,7856
2388,3274,4947,7391
2419,2972,5914,6695
2446,2981,4803,7770
2449,2588,5223,7740
2451,2685,4469,8395
2452,2956,4731,7861
2467,3720,4634,7179
2486,4550,5038,5926
2520,2655,5610,7215
2524,2660,5495,7321
2584,3143,5219,7054
2591,2940,4497,7972
2609,3208,4492,7691
2627,2835,4348,8190
2644,3947,4362,7047
2647,3047,4569,7737
2649,3226,4570,7555
2750,3592,4264,7394
2765,3679,5229,6327
2813,4163,5240,5784
2830,4690,4815,5665
2836,3029,5889,6246
2873,3804,5439,5884
2878,3352,4036,7734
2899,3134,4990,6977
2906,3932,4224,6938
2934,3398,4364,7304
2970,3414,4268,7348
2983,3410,4640,6967
3075,3275,4999,6651
3081,3797,5493,5629
3083,3295,4388,7234
3088,4070,5300,5542
3096,3239,4208,7457
3125,4133,4919,5823
3147,3183,3722,7948
3178,3588,4560,6674
3179,4165,4896,5750
3185,4254,4886,5675
3204,4249,4285,6261
3213,4486,4783,5518
3264,3293,5362,6081
3309,3457,5000,6234
3333,3349,4222,7096
3334,3441,4245,6980
3336,3791,3934,6939
3343,3435,4528,6694
3459,4209,4994,5338
3495,4136,4557,5812
3508,4241,4793,5458
3520,3652,5092,5736
3607,3858,4423,6112
3643,3669,4508,6180
3670,3962,4691,5673
3692,3888,4672,5748
3766,3943,5130,5161
3778,4118,5018,5086
3787,4035,4448,5730
3815,4243,4385,5557
3820,4061,4659,5460
3893,4011,4433,5663
3915,3936,4586,5563
3929,3940,5013,5118
4039,4142,4272,5547
4115,4162,4225,5498
4181,4408,4660,4751
