7,8,484
1299,9807,9894
1419,9767,9814
1531,9596,9873
1643,9548,9809
1660,9661,9679
1980,9446,9574
2100,9345,9555
2152,9398,9450
2446,9207,9347
2601,9062,9337
2940,8961,9099
2983,9000,9017
3075,8940,8985
3096,8930,8974
3208,8829,8963
3349,8803,8848
3585,8492,8923
3598,8689,8713
3722,8543,8735
3766,8577,8657
3804,8536,8660
3815,8587,8598
4117,8365,8518
4225,8305,8470
4348,8324,8328
4497,6980,9523
4528,8229,8243
4569,8205,8226
4691,7096,9213
4990,7948,8062
5018,7957,8025
5130,7837,8033
5240,7737,8023
5318,7804,7878
5331,7675,7994
5431,5661,9908
5492,7046,8462
5512,7719,7769
5518,7044,8438
5563,5784,9653
5622,5889,9489
5626,7634,7740
5730,7541,7729
5767,7284,7949
5786,5813,9401
5801,7577,7622
5942,7503,7555
6037,7466,7497
6112,7374,7514
6136,7396,7468
6155,7359,7486
6425,7210,7365
6613,7172,7215
2965,3669,5610,8756
3047,4036,5458,8459
3125,4740,6081,7054
3134,3643,4268,9955
3183,4948,5013,7856
3239,4285,6447,7029
3310,4550,5906,7234
3398,3435,6858,7309
3489,4584,5217,7710
3560,3812,6234,7394
3619,4479,5842,7060
3791,3858,4224,9127
3906,3915,5043,8136
3974,4208,4378,8440
4011,4035,4142,8812
4165,4919,5736,6180
4640,4672,5521,6167
5038,5086,5300,5576
3,1811,3943,5663,9580
16,1096,3146,6817,9925
22,4731,5338,5362,5547
30,503,5673,5922,8872
36,2750,3356,5523,9335
47,152,6191,7064,7546
48,1870,2282,7960,8840
61,348,5229,7501,7861
62,269,3592,7447,9630
76,850,3945,7624,8505
77,324,1038,9683,9878
120,602,6402,6937,6939
141,3226,4690,5129,7814
187,2972,3343,6359,8139
191,2647,3293,6801,8068
201,2461,2609,6978,8751
229,276,2595,8347,9553
230,917,5185,6977,7691
239,1735,2627,6661,9738
256,1741,5337,5630,8036
258,441,4362,6967,8972
284,2467,3802,5629,8818
287,559,3670,7724,8760
293,803,6210,6536,7158
298,2452,3350,7383,7517
338,2685,3929,5635,8413
351,706,4751,7200,7992
361,1113,4139,7014,8373
386,843,1160,8784,9827
402,3275,3308,4433,9582
406,1451,5081,6478,7584
443,2008,2486,6742,9321
445,657,4115,7811,7972
455,1766,2237,6615,9927
495,2470,2530,6965,8540
509,2939,5095,5814,6643
556,1709,1940,7320,9475
562,2748,3462,4249,9979
581,1170,4254,5092,9903
584,989,2873,7915,8639
590,842,4364,6033,9171
592,2588,4039,4181,9600
623,2449,3210,5158,9560
646,904,3147,6883,9420
664,1256,3835,5334,9911
691,1203,3888,5280,9938
699,2825,4133,4209,9134
721,1513,2284,7907,8575
751,1027,2398,7372,9452
762,1710,4793,5439,8296
774,961,4388,5659,9218
776,3081,3132,6938,7073
806,1325,4486,7093,7290
821,1491,4324,4560,9804
823,1327,2401,6559,9890
846,2644,3333,6338,7839
885,1269,4938,6246,7662
959,3520,4508,5621,6392
965,3029,3590,5871,7545
970,1031,1647,7640,9712
986,1690,4009,5888,8427
1057,3213,3336,4061,9333
1068,1330,4222,5445,8935
1120,3204,4272,4951,7453
1137,1454,2679,6011,9719
1223,2513,3797,6426,7041
1386,2269,4136,4783,8426
1426,2096,2655,6651,8172
1428,1581,3636,6207,8148
1439,2591,3679,4385,8906
1475,1810,2786,7159,7770
1476,2419,3588,4264,9253
1514,1770,4815,6200,6701
1539,3178,4652,5161,6470
1567,3820,4260,5495,5858
1571,2065,2652,6940,7772
1586,2660,3018,5750,7986
1607,1727,4634,6100,6932
1610,1651,1918,6214,9607
1619,1915,2341,7304,7821
1659,2524,3410,4243,9164
1661,3122,5223,5496,5498
1672,2335,4423,5542,7028
1692,1941,4689,5675,7003
1698,2835,4492,4999,6976
1719,3692,4931,4947,5711
1729,4408,4448,4667,5748
1752,4245,4659,5125,5219
1763,1782,3352,6769,7334
1764,2234,3309,5493,8200
1822,2368,3459,6364,6987
1825,2842,3893,3932,8508
1860,2910,3274,3934,9022
1873,2451,4644,5764,6268
1908,2189,3088,4848,8967
1913,2145,2899,4660,9383
1926,3962,4163,5460,5489
1966,2779,3441,4557,8257
1994,2584,2720,4586,9116
2187,2956,2970,6270,6617
2239,2362,3652,4803,7944
2249,2299,3607,5910,6935
2265,2465,3720,4383,8167
2878,3495,3508,3940,7179
2923,2934,3121,5926,6096
2981,3295,3440,4145,7139
