8,6514,9979,9998
2842,7091,9164,9903
229,2835,7907,8531,9498
256,2187,8492,8985,9080
284,1190,7957,9679,9890
575,657,8578,9452,9738
599,5906,6210,6426,9859
602,1810,7729,9032,9827
608,3459,6978,8381,9574
691,3722,7041,7986,9560
821,4550,5563,8543,9523
842,3440,6478,8426,9814
1256,1782,7622,8731,9609
1439,1651,8290,8803,8817
1908,2956,6613,7645,9878
1929,4118,4433,8972,9548
1966,2652,5492,9171,9719
2096,3264,6987,7073,9580
2225,3081,4783,9000,9911
2372,3182,5661,8438,9347
2446,3797,6674,6967,9116
2451,4243,5941,7348,9017
2647,3349,6167,7735,9102
3414,4009,4896,7074,9607
445,1787,4486,6346,7911,8025
484,1911,2660,5626,8425,9894
495,2467,3929,5897,6287,9925
509,3343,4423,4999,7811,7915
556,2486,3778,5043,7503,9634
581,1875,2825,7759,7821,8139
584,1830,5095,5514,7054,8923
590,2269,2963,5460,8136,9582
592,1120,4061,5801,7497,9929
623,2679,3309,3560,9188,9641
646,1096,3457,5338,8974,9489
664,1386,4133,4136,9128,9553
668,776,3334,7769,8148,8305
699,1287,2970,5814,8518,9712
707,3495,3893,6364,6680,7861
721,1581,2253,7200,7584,9661
751,1634,4994,5521,6416,9684
762,2830,5503,5622,5813,8470
774,2530,3804,4948,7261,9683
801,1690,3143,5223,8243,9900
803,2520,2655,6940,7334,8748
809,1325,5711,6609,7172,7374
823,2461,5038,6112,6394,8172
846,2341,3590,5362,7004,9857
850,2465,3592,5629,7624,8840
881,1766,2470,7215,7820,8848
885,1397,4378,4691,8515,9134
900,1811,4364,4584,8242,9099
902,2981,5092,5764,5914,8347
904,2524,5013,5523,7003,8033
906,1727,5300,6425,6682,7960
955,2649,3088,4560,8413,9335
959,2208,2398,6070,8536,8829
965,3802,4383,6049,6643,7158
970,3333,3607,3915,8440,8735
986,4039,4117,4225,6158,9475
989,3932,5158,5217,6214,7490
1027,2644,3508,5858,7028,8935
1031,1763,5018,6033,7093,8062
1038,3075,5000,5590,6261,8036
1057,2362,4672,6234,6935,7740
1113,2065,2899,6858,7488,8577
1115,2609,3292,5337,7394,9253
1137,2282,3858,6047,7837,7839
1146,3652,3936,5673,7202,7391
1160,2189,3945,5439,7060,9207
1167,1661,4264,5630,7770,8508
1170,1398,5445,6742,6939,7306
1203,4324,4497,5118,5219,8639
1223,2388,2401,5842,7546,9600
1269,1330,1672,7545,7878,9306
1299,3213,5730,5823,5871,7064
1327,2299,3275,5148,8200,8751
1426,2452,3336,6380,7457,7949
1428,1731,4947,4990,6559,9345
1451,1660,3955,4362,8760,8812
1454,1539,3226,4165,9218,9398
1476,1726,2873,6938,7047,8940
1491,3295,3669,6180,6302,8063
1513,1678,3080,6536,7533,8660
1514,1822,3147,4751,8704,9062
1528,2685,2807,6200,6447,9333
1531,1873,2910,5786,8427,8473
1571,2419,3934,5557,6136,9383
1586,2008,4163,4640,6695,9908
1610,1797,3636,5659,6694,9604
1643,1719,5431,5663,6155,8389
1647,2449,3619,4070,8459,8756
1659,2335,2720,5884,7804,8598
1709,2360,2368,5081,7555,9927
1710,2284,2591,7321,7517,7577
1729,2237,4268,4388,6932,9446
1735,3820,4209,4249,6359,8628
1741,3185,3692,5458,6053,8871
1752,1770,2265,6661,6785,9767
1764,3791,3888,4241,7372,7944
1825,1942,5129,5922,6188,7994
1860,3489,3906,4508,6980,8257
1918,3720,4224,5942,6037,7159
1937,1940,3356,4181,8373,9213
1941,2100,2983,4644,8365,8967
1994,3787,4115,5748,6327,7029
2037,2905,4634,5512,5889,8023
2103,3308,3835,4385,7046,8323
2145,2569,3585,4469,7210,9022
2239,2750,3183,4222,6651,9955
2266,3410,3899,4803,5495,9127
2454,2627,4479,5496,6207,7737
2513,2934,3974,4690,5334,9555
2568,2906,4272,6191,6246,6817
2588,2765,3146,5240,5665,9596
2748,4145,4245,4348,6096,7418
2779,3435,4285,4569,6412,7520
2781,3132,4035,5185,6011,7856
2836,3462,3947,5547,5812,7396
2965,3018,3083,3812,6801,9321
2972,3441,3643,4142,7304,7498
3047,3588,4011,5675,5910,6769
3125,3204,3943,4793,6701,7234
3208,3520,3815,5125,6414,6918
3398,4410,4659,4689,5229,6615
