2520,9979
6246,8848,8906
7215,8323,8462
7348,7691,8961
351,4938,9213,9498
823,6346,7960,8871
906,4948,8243,9903
955,6037,7374,9634
1513,6268,6769,9450
1787,3213,9420,9580
1908,6081,7584,8427
2189,5812,7159,8840
2362,3275,9103,9260
2398,6414,6680,8508
2451,5523,7645,8381
2461,5460,6470,9609
2807,7029,7068,7096
2910,5439,7304,8347
3047,4181,6965,9807
3080,3720,7488,9712
3081,4886,7320,8713
3182,4388,7770,8660
3310,5086,5906,9698
3398,5503,7359,7740
3410,5621,7468,7501
3669,5495,6980,7856
3934,5043,5219,9804
4497,4951,5801,8751
4783,5542,5941,7734
5000,5337,5842,7821
1027,1918,5610,7309,8136
1038,2970,2981,7994,9017
1057,2568,5518,7391,7466
1096,1782,3670,7769,9683
1113,3679,3915,5663,9630
1115,2609,4990,7261,8025
1120,3835,4486,5431,9128
1137,1911,5498,6651,8803
1146,1830,4408,6937,9679
1160,2266,4036,6978,9560
1167,2983,4584,6976,8290
1170,1729,3888,7724,9489
1223,3334,4640,4994,9809
1256,3459,3974,5910,9401
1269,2039,5018,6674,9000
1286,2239,6445,6939,7091
1325,1514,2401,9099,9661
1327,2341,4115,7640,8577
1386,1726,4931,6402,9555
1397,1539,3520,7839,9705
1419,1637,5125,6536,9283
1428,1735,4139,7515,9183
1439,2100,5764,6883,7814
1451,2835,5496,7064,7154
1454,1567,5362,6682,8935
1475,1825,3899,7878,8923
1476,2037,4410,7546,8531
1491,1764,2065,9127,9553
1528,1942,5217,7365,7948
1531,3858,4448,6100,8063
1586,2187,5659,6858,7710
1607,3588,4652,6416,7737
1634,3134,5786,6514,6932
1651,2008,3264,7503,9574
1659,4070,4362,4848,9061
1660,2103,5813,6790,7634
1661,1994,2265,8628,9452
1672,2237,4672,5871,9548
1678,3766,4245,7139,7172
1690,2720,3489,6287,9814
1698,2269,5334,6940,7759
1709,3929,4011,5926,8425
1710,1915,6136,6742,7497
1741,2368,6405,6412,7074
1763,2253,2467,7579,9938
1766,2679,4634,6049,8872
1770,3029,3349,6270,9582
1797,2765,4039,5661,9738
1811,4163,4209,5521,8296
1822,2779,3132,6394,9873
1860,3018,3932,7418,7772
1875,3906,4208,6617,7394
1926,3462,4268,6801,7543
1940,2208,4570,5629,9653
1941,2234,2282,7545,9998
1966,3560,5922,6188,6364
1980,2965,5158,5240,8657
2145,2748,4348,5942,8817
2225,4249,5338,5493,6695
2284,3308,4162,6426,7820
2360,2923,3210,5823,9684
2372,2972,3239,5590,9827
2419,3147,4117,5129,9188
2446,2569,3943,7205,7837
2449,4479,4690,4999,7383
2470,4644,5185,5223,6478
2486,3508,4378,6338,7290
2584,2685,3215,7046,8470
2588,3143,3179,6918,8172
2591,3435,3962,4118,9894
2601,3336,4691,5130,8242
2644,3185,4241,6609,7321
2655,4492,5148,5547,6158
2813,4133,4815,5626,6613
2899,3309,4254,5914,7624
2905,3955,4383,5038,7719
2906,3945,5161,5563,6425
2956,3208,4224,4569,9043
3343,3495,4557,5512,7093
3414,3585,3636,5458,7907
