30,3208,9979,9998
1607,5219,8062,9062,9383
1672,6359,7769,8200,9333
2419,3592,7814,9630,9878
4272,5884,6514,7915,8748
4550,6940,6965,6967,7911
8,809,7004,7972,8413,9127
61,1727,2388,9523,9807,9827
152,3962,4492,7348,7907,9472
264,2835,3292,7622,9582,9738
269,4886,5334,5557,8347,8940
455,3441,5300,8033,8036,8068
599,1027,6643,7172,8704,9188
699,3352,4225,6742,9032,9283
801,2765,5518,6346,8505,9398
885,2269,4947,6405,9253,9574
989,3797,5489,7457,7740,7861
1057,2807,5736,6081,8812,8840
1096,3459,3598,8136,8226,8818
1439,1475,6188,7047,8381,8803
1451,5129,6338,6364,6817,7234
1581,3520,5038,5858,8172,9164
1692,1763,3915,6978,9218,9767
1797,3121,5563,5590,7579,9683
1825,2652,3147,7179,9183,9347
1860,3440,4659,6426,7139,9809
1915,3636,5659,5842,7856,8425
2039,4249,4528,6615,7839,8063
2103,2595,3334,7453,8577,9271
2520,4162,4689,6047,6210,9705
2588,4667,5280,6268,6987,7543
2830,3047,3083,6158,8427,9788
3125,3239,4061,6801,7645,8462
3132,3929,4011,5439,7501,9321
3146,3815,4479,5914,7520,8459
3457,3936,4410,6112,6980,8438
850,1513,4118,5523,5547,5888,9894
881,1929,2398,2934,6701,8587,9903
906,1770,4136,4751,5635,7811,8324
917,2189,3435,3934,5431,8492,8935
929,2524,3080,4999,5610,7948,8243
965,1698,2569,6155,6470,7490,7986
970,2649,2720,5621,6070,7309,7994
1031,3081,3295,3489,6939,7359,8139
1038,3018,3713,4660,5185,5786,9933
1115,1325,2454,5514,5630,8328,8967
1137,2627,2647,4264,6402,8125,8131
1160,1327,3462,5125,5665,7046,9548
1167,2685,2956,5910,6380,6769,7466
1170,4268,4362,4783,5492,6167,7091
1203,1397,1994,4388,6694,8751,8906
1269,1913,3414,5493,6037,7497,7710
1287,3185,4222,4469,5229,5337,9604
1299,1752,3356,5626,6100,6270,8930
1330,2449,3350,4560,4586,7503,9555
1386,1822,3410,3766,6287,6858,9804
1398,3308,3310,4243,6234,6445,8395
1426,1764,2208,4408,5000,8974,9553
1428,1782,1830,2401,7555,9000,9337
1476,1741,3802,5711,6261,6680,7662
1528,2779,2970,3899,5823,7028,9306
1531,2465,2470,3947,5941,7068,9911
1586,1637,2341,3945,7044,8205,8575
1643,3309,3643,4691,5013,5161,9873
1647,1875,2813,2905,7073,8148,8872
1659,3182,3336,3619,5512,7290,8735
1660,1937,3940,5130,6447,7014,7205
1661,1735,3134,4385,7202,7396,7820
1690,2008,2299,5730,6214,7003,8389
1729,2972,3264,3858,4181,8122,9207
1766,2910,4165,4245,5086,7391,7770
1811,1895,2660,5095,5338,6938,9596
1926,2983,3179,3560,5889,7546,8250
1966,3495,3588,4241,4740,7584,7719
2096,2836,3893,4448,4557,7625,7878
2145,2372,2644,3974,5460,7054,9684
2234,2906,3585,4423,5503,6392,8290
2253,2282,3590,4254,4938,7418,8598
2513,3210,3274,3293,5814,6412,8817
